,Cd_value,Cd_real_value,Lon,Lan
0,0.138530898,0.1,128.0932222,37.2805
1,0.024056674,0.1,128.0891389,37.27913889
2,0.110288788,0.1,128.0829444,37.27169444
3,0.261088534,0.06,128.1160556,37.28077778
4,0.096076888,0.075,128.1156111,37.28080556
5,0.169446139,0.05,128.0982778,37.28083333
6,0.133730478,0.065,128.0976944,37.28108333
7,0.139392185,0.035,128.0976944,37.28108333
8,0.046934083,0.03,128.0961944,37.28141667
9,0.05995998,0.09,128.0958056,37.28194444
10,0.060319551,0.08,128.0958056,37.28194444
11,0.140551245,0.1,128.0953056,37.28197222
12,0.139877564,0.075,128.0951111,37.28155556
13,0.101530334,0.07,128.0946667,37.28172222
14,0.127612064,0.14,128.0949722,37.28205556
15,0.135196194,0.095,128.0943611,37.28186111
16,0.17766727,0.02,128.0939444,37.28194444
17,0.107001091,0.09,128.0936111,37.28202778
18,0.107902463,0.075,128.0936111,37.28202778
19,0.095400095,0.11,128.0933056,37.28222222
20,0.154907255,0.08,128.0929444,37.28225
21,0.122691628,0.1,128.0931944,37.28058333
22,0.067561883,0.015,128.0920556,37.28025
23,0.067561883,0.04,128.0920556,37.28025
24,0.13414366,0.095,128.0909444,37.28027778
25,0.123968319,0.06,128.0909444,37.28027778
26,0.044874628,0.005,128.0901111,37.28002778
27,0.124565139,0.125,128.0892222,37.27961111
28,0.100651392,0.105,128.0880833,37.27836111
29,0.124565139,0.125,128.0876667,37.27658333
30,0.080180819,0.31,128.0858611,37.27541667
31,0.120028368,0.215,128.0836389,37.27261111
32,0.108627542,0.03,128.0832222,37.27027778
33,0.057354464,0.085,128.0863056,37.26052778
34,0.065162995,0.965,128.0848056,37.25452778
35,0.110818235,0.075,128.0855278,37.24858333
36,0.065495216,0.035,128.0923333,37.27355556
37,0.049384025,0.09,128.0923333,37.27355556
38,0.076176201,0.05,128.0886389,37.25413889
